Human Being	Frick off
Pumpkinlemonade Zero	Okay, i'm really happy about Mercy maybe getting fixed and esoecially about Roadhog recieving a buff
ROBBIETHEDANK	Thanks for Mei's first new epic skin
SoulOfPower	ROADHOG SQUAD RISE UP WE ARE GETTING AN BUFF FOR ONCE!!!!!
Nickstar Playz	sty called it
666Duiveltje666	Yay , when will you finally remove trashcans as teammates out of my games? My teammates are always so feeding that hard that Africa should be out of hunger
Akash Roy	Balance BRIG rather than bringing back the moth.
Acid	Me: I wonder what this developer update is abou— ohhhhh the roadhog changes.
Aatox	Mercy BUFF? FINALLY
CyberStorm571	I swear if mercy becomes meta again after this buff I'm not playing overwatch until its nerfed
Space Buns	Praise papa Jeff! Mercy gets a buff
Lutrisal__	OMFG!!! JEFF THE SAVIOUR OVER HERE "Expect buffs for Roadhog, Reaper, SYMMETRA AND MERCY!!!!" Almost certain it'll be a healing buff for Mercy from 50hps to 55hps. But for Symmetra? I'm not sure, I'm begging for a revert to Sym 2.0 but I highly doubt that'll happen.
Esoteric Ideology	Boy I do love >content
Heartstriker	our lord has spoken!!! ignite the fires!!!
Josué Ponce	OMG! a new developer update and Mercy is not getting a nerf!? did something happened with the OW team? LOL
A.N.T.	Reaper buff :)
BigGuiGuiX	So if im not mistaken, F console players? Cant you guys just let us have the same camera functions on twitch or on a web site or something? If it dosent happen its a shame 😔
Mr. Crazy Muffins	Work on fixing and balancing the game, not everyone one cares about ow esports
Joben Obeña	Jeff is a junk main. Nerf mercy.
Mr Select	I haven't touch overwatch since black ops 4 came out
ainoastaann ow	Mercy gets a buff!! <3 Mercy mains we have still hope!
CallmeJoel	HE SAID NO NEW MAPS SO THAT MEANS THAT IT'S A NEW HERO!!
Wat is men naam ? ??	Finally, it's here
Johnathan Strong	Hook daddy's return
Shubibs	Not even the slightest buff for my Bastion REEEEEEEEEE
Shits fucked up Boi	Wait who is this guy? Wheres jeff from the overwatch team?
AJ Yang	Yasssssssss
Addy 0302	The live game viewer could revolutionise streaming
Angelica Vargas	SYMMETRA. DOES. NOT. NEED. A. BUFF.
Epic Games	hype
Oleg Kushakov	No nerf for Doomfist, tho?
SpiderByte	No doomfist nerf smile
DerGreif2	Bastion... yes the character that is dead since... almost a year? Any changes??? NOPE!
PokeboyWither	The plagues of Overwatch 1. One hero limit 2. Dive Comp 3. Triple Tank 4. Beyblade 5. Triple Tank 6. Triple DPS 7. Dive 8. McFist 9. Dive 10. Moth 11. Anti-Dive 12. Double Sniper 13. GOATS
Dramangar	Sym needed a buff? Lol great...
Niklas Green Jørgensen	Proper balance changes to doomfist and Brigitte please HELLO??????? I can't deal with this dev team anymore
Lauren Riggs	Nerf mei
hexing laughingjack	I have all skins im so lucky
Chumcicle -	YES SYMMETRA BUFFS THATS ALL I NEEDED TO HEAR TY 🙏🏽🙏🏽🙏🏽
Mlg Sty	So when do we get game demos?
Jeroen	No one cares about esports
MÎŠHÂŁ *	Mercy buff?!   Oh mah god Sym And reaper im dying _(:o 」∠)_
Leeky XIV	What about ranked? Ranked is still the worst thing ever. Im not the best player ever but in plat i feel like I play with too many players who just have 0 game sense
My Guy	LEAVE ROADHOG ALONE
Connor Humphray	Why his head so red tho?
Lordi	Nothing about stun meta? Okay :/
jelt van der leer	There have been pictures leaked for the upcoming Lego-overwatch sets for those of you that didn't know
Oddboy Rebel	Papa Jeff why u cut your beard papa?
tony stark	missing the brig nerf
Juan Miguel Moscatel Romero	I need a buff for Zen(?
Snappy -san	BLIZZCON WILL BE OUR OVERWATCH SAVIOR
Yash Patel	Get ready for 20 vids in your sub box about youtubers covering the same thing
aisatsana	MERCYYYYYYYYYYYYYY
AgeOfGamerz	I hope this will be available for OWL.
Matthew Rodriguez	So basically new hero at blizz con
SebWay !.!	POGU
Maxwell Bell	MERCYYYYYYYYYYY!!!!!!!!!!!!!! OOOOOOOMMMMMMMGGGGGGGG!!!!!!!!!!!
༺DarkrozGaming༻	I need healing ! 🤖
ALEXIS_ 70	JEFF i have open like 20 boxes and i only got the mccree skin and i don't even play him I'm not even getting the old skin bro(is ther a glitch or something or is that the game hates me?)
Anthony Sermania	Cool stuff. But when can we expect fixes for the colorblind settings so that I can actually use them to see my enemies for the first time in 2(ish?) years and also not have certain things be totally backwards, like Reinhardt's and Symmetra's barriers, Ana's antinade effects, some progress UIs, etc?
Jadett Zhu	GIVE US BACK THE MASS RESS
Kevin Qerimi	I hope the blizzcon content doesn’t disappoint :)
OFAguy999	Buffing symmetra again???? Maybe going to make her turrets do x20 damage and indestructible?? She's OP enough thanks.
Sushi roll	lets see.... roadhog, buff, reaper, buff symmetra buff, mercy ner- BUFF???
Igor Corrêa	You guys better annouce something like an animated series or a movie because we NEED something related to the story of this game, also it would be really cool to have am entire new game mdoe added to quick play/ competitive
vanilladome	SYM!!!!!!!
Hugo Marion	replay system PogChamp
CogDat™	Every Mercy main is screaming with joy right now...thanks, Jeff
Phil Rezanka	Excuse me Jeff, but I haven’t gotten any legendary skins from the Holloween event. no matter how many loot boxes I’ve earned, I’ve gotten no event legendaries, or any normal legendaries. Can I please get some help with this loot box problem?
boliver02	Reaper doeant need any buffs
Luke Hillier	Stylosa is going to faint with excitement 😂
Levi Lapsley	Nice.
Vingu1K	PogU
Ko	ded gaem
Melisa V.	I needed a xanax when this video popped up, as a mercy main.
Avadia	Buff and mercy in the same sentence.. is the end of the world upon us ? Worried.
BoosPlaybook	ROADHOG ABUSER INCOMING
Zackinblack	So if this does come to be, for future events like, "Overwatch League" i'm hoping OWL token drops will be eligible, cause lots of people have watched more then most people but haven't even gotten one token.
LizardPlanet Joe	Let me meet jjonak
Matthew Helms	ROLE Q
Sam Woodley	Is the Overwatch World Cup Viewer the new feature that was delayed from end of summer to now, or is that still coming?
Cupcake	Jeff: Its gonna be a way for you to watch Overwatch World Cu- Me: *skips to **06:00*  Nice, buffs
0Wayland	Why can't people just watch streams...
Conor Porteous	Roadhog needs a buff, sure. That goes without saying, but Reaper, Symmetra and Mercy? Nah, leave them alone. They're fine as is.
Librocks914	Can we please boost Mercy's healing... Thanks!
AniBell	oh man, I'm so hyped for that symmetra buff
Hello People	GASP, MAGIC!
The Nugget God	This has to be a think for OWL and pls don’t make us pay
namekiano	still no hammond buff, ok
Tingen	Jayne's pro reviews will be a lot better now. I bought the OWL all-access pass, so will this be the spectator thing for OWL.
T1images	If anything.. don't buff reaper .. just remove him from the game LOL
MitchTheLich	2:42 look at his hand.... dinoflask get to work
Aaron Dunne	Mercy buffs...It's been 84 years...
Blake	I have 0 new skins for Halloween
Marshall Glaus	Can you give us more lore, more comics/shorts please
Patrick Snipes	FINALLY
Zak Murray	Daddy Kapplan
MasterTK180	Huge
Arslan Ahmed	YES YES YES PLZ CHANGE MERCY!!! remove Rez and make her more entertaining to play!!!! (500 hours on mercy and I’ve stopped playing her for over a month now since her last nerf)
Jasper H.k	Nub
Fish Smell Bad	BLIZZZZZZZCON
Ruben Guillen	Did I hear "Mercy Buff"?
Roland B	The replay feature everyone had asked for is coming, and people seem to be more excited for the mercy buff
Angry Parrot	There has to be something huge other than a new hero and cinematic short coming.
Manda Panda Gaming	MERCY GETTING A BUFF?!!? NANI!! I never thought I would hear those words again 😂
TryItWithRanch	I want to play overwatch, not watch it. More in game content, less back and forth nerf/buffs please
Viral // Jack	okay cool, can you delete goats now thanks.
Calvin Weustink	A Buff to mercy? What year is it?
The real Kelpy g	I really love the idea i can't wait to see all the feedback this gets. Can't wait til console eventually gets this feature as well
Mew‡zxn covers - The Moon Sect	YES YES YES YES
Dumont Wang	No new map, probably a new hero!!!
T-rex Gamer101	Dead game and dumb move you want to make the game competitive yet give them a way to cheat
Heat	Omg
Jusemaster General	Thanks Jeff we love you overwatch is better than Fortnite
ThatWeebKid	MAH BOI HOG IS GETTING SOME LOVE
AnuBius	So if you watch through the World Cup Viewer, will you still get those awesome commentators? Because tbh they make it even more enjoyable, if I cant get them in this then ill probably still watch the normal stream...
Ben Richardson	I think we should get rid of ptr and put things Straight onto live, specifically into comp
The718Emerald	tHiS GaMe iS dEaD gUyS
Maximilian M	Sick stuff add in a normal demo player and I'm a lucky lad for the next weeks
ace the anarchist	why buff sym? shes already broken
Farook K-MOON	well this replay and observation will be great to have for the commun players later !  the buffs to Symetra, Mercy and Rodhog will be interesting to me !
Dominic Lavell	Hero twenty-something @ blizzcon, maybe?
ルバ	Im excited for the mercy buff 🔥💗
Lydia Doza	This is so exciting! This will make it so much more interesting to watch the game live!
Jacob Slattery	I wish console had a PTR and OWL
OmegaNave	Thought we’d get some info on Lucio-O’s
Carlos Balan	Is nobody saying like "how do you get the pixel torb spray??" I mean did they change it cause I dint check
Med Max	They better be buffing Symmetra's beam it's so weak on level 1
Talon Apex	papa jeff has spoken
Baconvarken	POG POG POG POG POG POG POG POG POG POG POG POG POG POG POG POG POG POG POG POG POG POG POG POG POG POG POG POG POG POG POG POG POG
Federica Di Pinto	I will only watch Soon, Poko, Unkoe and Akm, but I will support FInland
Corlwow	Symm getting that ana treatment. Buffed before people understand how to use her :).
Shadowburns Appentice	Who is this guy? It's usually jeff from the overwatch team but now it's somebody else.
Zenophobic OW	Stylosa finally will be able to die in piece
Thespain Trash	highkey never clicked a timestamp so fast-
SnippSnappDoggo	More fuel for dinoflask’s meme train!
PEEPS REBELLION	RoadHog Buff pogchamp
The Silver Raptor	OMG CAN'T WAIT FOR THE NEW ROADHOG BUFFS!!!!!!!!!!!
FreshKreations	Crazy good news! Future of esports, and much needed buffs. Thanks Jeff
Aidan Kim	Big
Hamad AlEnazi	OhNickel... I summon thee
technopat3	Bruh!!!!!!!!!!!!!!!!
Rayofsunshine	Did...did you say a *buff* for Mercy? You didn’t mean a nerf did you? Did you? *No?* You really meant a buff?   *B* *L* *E* *S* *S* *E* *D*
Mangle 982	Overwatch >3< I didn’t get whats happing xD But Yay? :3
Codyyh	roadhog and reaper buff? rip doomfist
Portalmaster529	That's not fair for us console players that play/watch the OWL
Gamer Dylan	MERCY BUFF! THE MAD LADS ACTUALLY DID IT!
It's High Noon	It's High Noon        This game is dying to me  Send Help
SchwarzerRegen	No new Map....... Overwatch Expansion even more than likely
Almin	Me: Nerf Symmetra Jeff: Buff for Symmetra Me: ...
António Segurado	NERF DOOM !!!please
Xxfalcon_xx69pussidestroyer420	Your games dead bro
Immortalxz1	Jeff before You buff roadhog can you pls fix roadhog hook because Somehow I got Hook around the corner when Roadhog cant even see me and other scenario when Roadhog Hook Bypass Rein Shield.... Hope u fix it TY..
Sebastiaan Winkelmeijer	A buff? For mercy? I’ve not heard those words in years
Jay Eeles	My piggy boy getting buffed yes
Smawlai	You guys are late in Americas
BASEDXWORLD	Overwatch is dead imo
Neon	Can we just revert and tweak mercy already
Katie Hodgson	jeff your foundation looks weird other than that thank u
